customer_id,customer_type,customer_name,email,gender,dob,area,region,signup_date,loyalty_points,customer_segment,email_marketing_opt_in,sms_marketing_opt_in,push_notifications_opt_in
CUST001,Retail Members,,johnsonjoshua@example.org,,,,,2024-05-24,0.0,New Customers,,,
CUST002,Retail Walk-In,,,,,,,,,,,,
CUST003,Retail Members,,jillrhodes@example.net,,,,,2024-01-03,0.0,Active Customers,,,
CUST004,Retail Walk-In,,,,,,,,,,,,
CUST005,Retail Walk-In,,,,,,,,,,,,
CUST006,Retail Walk-In,,,,,,,,,,,,
CUST007,Retail Walk-In,,,,,,,,,,,,
CUST008,Retail Members,,garzaanthony@example.org,,,,,2024-09-26,0.0,Active Customers,,,
CUST009,Online Only,Jeffery Wagner,jeffery.wagner@example.org,Female,1978-03-07,Tiong Bahru,Central,2024-07-05,0.0,Churn Risk Customers,,,
CUST010,Retail Walk-In,,,,,,,,,,,,
CUST011,Retail Walk-In,,,,,,,,,,,,
CUST012,Retail Walk-In,,,,,,,,,,,,
CUST013,Retail Walk-In,,,,,,,,,,,,
CUST014,Retail Walk-In,,,,,,,,,,,,
CUST015,Retail Walk-In,,,,,,,,,,,,
CUST016,Retail Walk-In,,,,,,,,,,,,
CUST017,Omnichannel,Jennifer Miles,jennifer.miles@example.com,Male,1955-01-03,Bukit Panjang,West,2024-12-19,0.0,New Customers,True,True,False
CUST018,Online Only,Bridget Pacheco,bridget.pacheco@example.org,Female,1991-08-13,Newton,Central,2024-07-15,0.0,Budget Shoppers,,,
CUST019,Retail Walk-In,,,,,,,,,,,,
CUST020,Retail Walk-In,,,,,,,,,,,,
CUST021,Omnichannel,Erik Henderson,erik.henderson@example.com,Female,1950-08-03,Upper Bukit Timah,Central,2024-08-09,0.0,Active Customers,False,False,True
CUST022,Retail Members,,curtis61@example.com,,,,,2024-05-02,0.0,High Spenders,,,
CUST023,Online Only,Melanie Munoz,melanie.munoz@example.org,Female,1989-08-21,Marina South,Central,2024-12-29,0.0,Active Customers,,,
CUST024,Online Only,Amanda Dudley,amanda.dudley@example.com,Female,1945-05-17,Lakeside,West,2024-05-18,0.0,Active Customers,,,
CUST025,Retail Walk-In,,,,,,,,,,,,
CUST026,Retail Walk-In,,,,,,,,,,,,
CUST027,Omnichannel,Kelly Fuller,kelly.fuller@example.com,Male,1979-04-11,Choa Chu Kang,West,2024-03-21,0.0,New Customers,True,False,True
CUST028,Retail Walk-In,,,,,,,,,,,,
CUST029,Retail Walk-In,,,,,,,,,,,,
CUST030,Retail Walk-In,,,,,,,,,,,,
CUST031,Retail Walk-In,,,,,,,,,,,,
CUST032,Retail Walk-In,,,,,,,,,,,,
CUST033,Omnichannel,Janet Williams,janet.williams@example.org,Female,1992-08-01,Sungei Kadut,North,2024-06-21,0.0,Active Customers,False,False,True
CUST034,Retail Walk-In,,,,,,,,,,,,
CUST035,Retail Members,,wyattmichelle@example.com,,,,,,0.0,Churn Risk Customers,,,
CUST036,Online Only,Joshua Reid,joshua.reid@example.com,Female,1951-01-28,Redhill,Central,2024-06-21,0.0,Active Customers,,,
CUST037,Retail Walk-In,,,,,,,,,,,,
CUST038,Omnichannel,Michael Santiago,michael.santiago@example.net,Female,2003-09-16,River Valley,Central,2024-03-12,0.0,Budget Shoppers,False,False,True
CUST039,Retail Walk-In,,,,,,,,,,,,
CUST040,Online Only,Deborah Lynch,deborah.lynch@example.org,Female,1976-05-03,Rivervale,North-East,2024-11-25,0.0,Budget Shoppers,,,
CUST041,Omnichannel,John Ford,john.ford@example.com,Male,,Tuas,West,2024-11-23,0.0,New Customers,True,False,False
CUST042,Retail Members,,gabriellecameron@example.org,,,,,2024-03-08,0.0,Active Customers,,,
CUST043,Retail Walk-In,,,,,,,,,,,,
CUST044,Retail Walk-In,,,,,,,,,,,,
CUST045,Retail Walk-In,,,,,,,,,,,,
CUST046,Retail Walk-In,,,,,,,,,,,,
CUST047,Retail Walk-In,,,,,,,,,,,,
CUST048,Retail Members,,lydiatrujillo@example.com,,,,,2024-01-11,0.0,New Customers,,,
CUST049,Retail Walk-In,,,,,,,,,,,,
CUST050,Retail Walk-In,,,,,,,,,,,,
CUST051,Retail Members,,carl95@example.org,,,,,2024-12-19,0.0,Active Customers,,,
CUST052,Retail Walk-In,,,,,,,,,,,,
CUST053,Retail Walk-In,,,,,,,,,,,,
CUST054,Retail Walk-In,,,,,,,,,,,,
CUST055,Retail Walk-In,,,,,,,,,,,,
CUST056,Retail Walk-In,,,,,,,,,,,,
CUST057,Retail Members,,pfoster@example.com,,,,,2024-12-02,0.0,Active Customers,,,
CUST058,Retail Members,,josephwright@example.net,,,,,2024-07-11,0.0,Budget Shoppers,,,
CUST059,Online Only,Amber Burgess,amber.burgess@example.com,Female,2001-01-25,Queenstown,Central,2024-08-14,0.0,New Customers,,,
CUST060,Retail Walk-In,,,,,,,,,,,,
CUST061,Online Only,Reginald Robinson,reginald.robinson@example.org,Female,1974-08-31,Dhoby Ghaut,Central,2024-12-27,0.0,High Spenders,,,
CUST062,Retail Walk-In,,,,,,,,,,,,
CUST063,Retail Walk-In,,,,,,,,,,,,
CUST064,Retail Walk-In,,,,,,,,,,,,
CUST065,Online Only,Christopher Williams,christopher.williams@example.org,Female,1950-05-30,Pioneer,West,2024-12-09,0.0,Budget Shoppers,,,
CUST066,Retail Members,,laurahenderson@example.org,,,,,2024-10-16,0.0,Churn Risk Customers,,,
CUST067,Retail Walk-In,,,,,,,,,,,,
CUST068,Retail Walk-In,,,,,,,,,,,,
CUST069,Omnichannel,Paul Carlson,paul.carlson@example.com,Female,1975-12-30,Admiralty,North,2024-09-17,0.0,Active Customers,False,False,True
CUST070,Retail Walk-In,,,,,,,,,,,,
CUST071,Online Only,Tasha Valencia,tasha.valencia@example.org,Female,1986-04-11,Tanah Merah,East,2024-05-04,0.0,New Customers,,,
CUST072,Retail Walk-In,,,,,,,,,,,,
CUST073,Retail Walk-In,,,,,,,,,,,,
